gene_ID;dom
H4_Bulk_Litter_24_scaffold_5774_1;A
H3_Bulk_42_scaffold_5647_1;A
H3_Bulk_Litter_17_scaffold_12322_1;A
H3_Bulk_42_scaffold_11273_1;A
H4_Bulk_46_scaffold_12351_1;A
H1_Bulk_30_scaffold_11979_1;A
Nitrosopumilus_adriaticus;A
Nitrosopumilus_piranensis;A
Nitrosopumilus_adriaticus;A
Nitrosocosmicus_oleophilus;A
Nitrosocosmicus_arcticus;A
H3_Bulk_Litter_16_13339_1;A
H1_Rhizo_25_scaffold_19792_1;A
H3_Bulk_42_scaffold_13602_1;A
H2_Bulk_34_13768_1;A
H4_Bulk_Litter_23_scaffold_15666_1;A
H3_Rhizo_Litter_14_scaffold_32135_1;A
H4_Bulk_Litter_22_scaffold_28879_1;A
H4_Bulk_Litter_24_scaffold_32072_1;A
H4_Bulk_46_scaffold_31750_1;A
H3_Bulk_Litter_16_16164_1;A
H4_Bulk_47_scaffold_17434_1;A
H3_Bulk_Litter_17_scaffold_22119_1;A
H3_Bulk_Litter_17_scaffold_29081_1;A
H3_Bulk_Litter_17_scaffold_26051_1;A
H2_Rhizo_Litter_49_scaffold_56909_1;A
H2_Bulk_35_scaffold_22054_1;A
H3_Rhizo_Litter_14_scaffold_23848_1;A
H1_Bulk_30_scaffold_13362_1;A
H3_Bulk_41_scaffold_22969_1;A
H1_Bulk_28_FD_scaffold_5497_1;A
H2_Bulk_Litter_10_scaffold_15082_1;A
H3_Bulk_Litter_17_scaffold_32181_1;A
H4_Rhizo_43_scaffold_27540_1;A
H1_Bulk_Litter_4_scaffold_15079_1;A
H2_Rhizo_Litter_9_1728_1;A
H4_Bulk_46_scaffold_28710_1;A
H3_Bulk_Litter_17_scaffold_22320_1;A
H4_Bulk_Litter_22_scaffold_26863_1;A
H3_Bulk_41_scaffold_20336_1;A
H3_Rhizo_Litter_15_scaffold_15376_1;A
H2_Bulk_Litter_11_22168_1;A
H3_Bulk_41_scaffold_17380_1;A
H1_Bulk_29_scaffold_14124_1;A
H1_Rhizo_27_scaffold_15738_1;A
H3_Bulk_40_scaffold_13151_1;A
H3_Bulk_Litter_17_scaffold_22724_1;A
H2_Rhizo_31_scaffold_3514_1;A
H4_Bulk_46_scaffold_13346_1;A
H1_Bulk_Litter_4_scaffold_19579_1;A
Nitrososphaera_viennensis_EN76;A
Nitrososphaera_gargensis_Ga9.2;A
H3_Rhizo_Litter_13_scaffold_9352_1;A
H3_Bulk_Litter_16_9394_1;A
H1_Bulk_30_scaffold_3883_1;A
H2_Bulk_Litter_11_6358_1;A
H1_Bulk_29_scaffold_5719_1;A
H2_Rhizo_33_scaffold_7290_1;A
H1_Bulk_28_FD_scaffold_1059_2;A
H4_Rhizo_Litter_20_scaffold_5778_1;A
H2_Bulk_Litter_10_scaffold_4839_1;A
H1_Bulk_30_scaffold_5024_1;A
H2_Bulk_Litter_12_scaffold_16677_1;A
H3_Rhizo_Litter_14_scaffold_8280_2;A
H2_Rhizo_Litter_49_scaffold_20682_1;A
H3_Bulk_Litter_16_6789_2;A
H4_Bulk_Litter_22_scaffold_8323_1;A
H2_Rhizo_Litter_7_scaffold_11350_1;A
H4_Bulk_47_scaffold_20823_1;A
H1_Bulk_Litter_5_scaffold_17003_1;A
H3_Rhizo_Litter_14_scaffold_17962_1;A
H3_Bulk_Litter_17_scaffold_18566_1;A
H3_Bulk_41_scaffold_17997_1;A
H1_Bulk_Litter_6_scaffold_14223_1;A
H2_Bulk_Litter_11_16744_1;A
H1_Bulk_30_scaffold_14890_1;A
H2_Bulk_Litter_12_scaffold_17836_1;A
crenarchaeote_57a5;A
crenarchaeote;A
crenarchaeote_29d5;A
H4_Bulk_46_scaffold_30548_1;A
H4_Bulk_46_scaffold_30399_1;A
H1_Bulk_29_scaffold_25625_1;A
Thaumarchaeota;A
H2_Rhizo_Litter_7_scaffold_9163_1;A
H4_Bulk_Litter_24_scaffold_21087_1;A
H4_Bulk_Litter_23_scaffold_15325_1;A
H4_Rhizo_43_scaffold_18915_1;A
H2_Bulk_36_scaffold_10869_1;A
H1_Rhizo_27_scaffold_27801_1;A
H4_Bulk_48_scaffold_16237_1;A
H2_Bulk_34_12568_1;A
H2_Bulk_35_scaffold_12605_2;A
H4_Rhizo_45_scaffold_10580_1;A
H4_Bulk_46_scaffold_17836_1;A
H4_Bulk_Litter_24_scaffold_31739_1;A
H3_Bulk_40_scaffold_15626_1;A
H2_Bulk_35_scaffold_17095_1;A
H2_Rhizo_Litter_7_scaffold_10909_1;A
H1_Bulk_28_FD_scaffold_4052_1;A
H1_Rhizo_Litter_1_scaffold_15542_1;A
H4_Rhizo_Litter_20_scaffold_14623_1;A
H2_Rhizo_Litter_8_scaffold_18648_1;A
H2_Bulk_35_scaffold_19563_1;A
H4_Rhizo_Litter_19_scaffold_26943_1;A
H4_Rhizo_45_scaffold_28277_1;A
H4_Bulk_Litter_23_scaffold_17398_1;A
H1_Rhizo_27_scaffold_18569_1;A
H4_Bulk_Litter_24_scaffold_40367_1;A
H1_Bulk_Litter_4_scaffold_20458_2;A
H2_Rhizo_33_scaffold_32965_1;A
H3_Bulk_Litter_17_scaffold_24654_1;B
H3_Bulk_42_scaffold_22136_1;B
H3_Bulk_42_scaffold_16497_2;B
H3_Bulk_42_scaffold_12005_1;B
H3_Bulk_Litter_17_scaffold_36523_2;B
H3_Bulk_Litter_17_scaffold_9836_3;B
H1_Bulk_Litter_6_scaffold_21176_1;B
H3_Bulk_Litter_17_scaffold_17529_1;B
H3_Bulk_Litter_17_scaffold_17761_1;B
H3_Bulk_Litter_17_scaffold_5594_2;B
H3_Bulk_42_scaffold_10654_2;B
H3_Bulk_Litter_17_scaffold_20562_1;B
H3_Bulk_42_scaffold_11011_1;B
H3_Bulk_Litter_17_scaffold_16503_2;B
H3_Bulk_42_scaffold_3937_1;B
H4_Rhizo_43_scaffold_9431_1;B
H3_Rhizo_39_scaffold_290_1;B
H1_Bulk_Litter_6_scaffold_7786_1;B
H3_Bulk_42_scaffold_6875_1;B
H3_Bulk_42_scaffold_15218_1;B
H3_Bulk_Litter_17_scaffold_33206_1;B
bacterium_HR41;B
H4_Rhizo_Litter_19_scaffold_11938_1;B
H4_Bulk_Litter_23_scaffold_14337_1;B
H2_Rhizo_32_scaffold_10233_1;B
H3_Bulk_Litter_17_scaffold_33084_1;B
H3_Bulk_42_scaffold_10164_1;B
H2_Rhizo_Litter_8_scaffold_14017_1;B
H2_Rhizo_Litter_49_scaffold_25186_1;B
Nitrospira_moscoviensis;B
Pseudomonas;B
Pseudomonas;B
Pseudomonas;B
H3_Bulk_42_scaffold_7729_1;B
H1_Bulk_Litter_6_scaffold_8521_2;B
H3_Bulk_42_scaffold_6440_1;B
H3_Bulk_42_scaffold_2813_1;B
H1_Bulk_Litter_6_scaffold_17881_1;B
H1_Bulk_Litter_6_scaffold_10714_2;B
H3_Bulk_Litter_17_scaffold_25355_1;B
H1_Bulk_Litter_6_scaffold_14056_1;B
H3_Bulk_Litter_17_scaffold_20837_2;B
Bradyrhizobium;B
Bradyrhizobium;B
Bradyrhizobium;B
Bradyrhizobium;B
Bradyrhizobium;B
Pseudomonas;B
H1_Bulk_Litter_6_scaffold_12923_1;B
Bosea_vaviloviae;B
Bosea_lathyri;B
unclassified_Bosea;B
Bosea_sp._Root670;B
Bosea_sp._F3-2;B
H1_Bulk_Litter_6_scaffold_1970_4;B
Devosia_ginsengisoli;B
Devosia_sp._M6-77;B
Devosia_sp._PTEAB7WZ;B
Devosia;B
Rhizobium;B
Rhizobium;B
H1_Bulk_Litter_6_scaffold_9334_2;B
H3_Bulk_Litter_17_scaffold_37710_1;B
H1_Bulk_Litter_6_scaffold_15388_1;B
unclassified_Neorhizobium;B
Rhizobium;B
Rhizobium;B
H1_Bulk_Litter_6_scaffold_10533_1;B
Neorhizobium_sp._T6_25;B
Neorhizobium_sp._T25_27;B
Neorhizobium_sp._T25_13;B
Neorhizobium_sp._T7_12;B
Thermoflexus_hugenholtzii;B
Thermorudis_peleae;B
Sphaerobacter_thermophilus;B
Sphaerobacter_thermophilus;B
H3_Bulk_Litter_17_scaffold_7340_2;B
H3_Bulk_42_scaffold_21426_1;B
H3_Bulk_42_scaffold_10265_1;B
H3_Bulk_Litter_17_scaffold_32538_1;B
H3_Bulk_42_scaffold_22563_1;B
H3_Bulk_42_scaffold_2178_4;B
Nitrospina_gracilis;B
Chloroflexus_islandicus;B
Chloroflexus_aggregans;B
Pseudomonas;B
TMQ27233.1;B
H3_Bulk_42_scaffold_3976_2;B
Bradymonas_sp._YN101;B
Bradymonas_sediminis;B
Azospirillum_brasilense;B
Azospirillum;B
H3_Bulk_Litter_17_scaffold_24576_1;B
Azospirillum_lipoferum;B
Azospirillum_oryzae;B
Rhizobium;B
H1_Bulk_Litter_6_scaffold_4394_3;B
Devosia_submarina;B
H1_Bulk_Litter_6_scaffold_15668_1;B
Azospirillum_halopraeferens;B
Lutibaculum_baratangense;B
Microvirga_sp._KLBC_81;B
Microvirga_guangxiensis;B
Microvirga_flocculans;B
H1_Bulk_Litter_6_scaffold_7913_2;B
Microvirga_subterranea;B
Microvirga_massiliensis;B
Nitrospina_gracilis;B
Nitrospira_moscoviensis;B
H2_Rhizo_33_scaffold_24313_1;B
H2_Bulk_Litter_11_11113_1;B
H3_Bulk_41_scaffold_23076_1;B
H1_Bulk_30_scaffold_10401_1;B
H1_Bulk_29_scaffold_14062_1;B
Rokubacteria;B
Rokubacteria;B
Bacteria;B
H2_Bulk_35_scaffold_14575_1;B
Bdellovibrio_bacteriovorus;B
Bdellovibrio_bacteriovorus;B
Bdellovibrio_bacteriovorus;B
H3_Bulk_Litter_17_scaffold_15824_1;B
H1_Bulk_Litter_6_scaffold_21372_1;B
H1_Bulk_Litter_6_scaffold_20915_1;B
Bdellovibrio_sp._ZAP7;B
Bdellovibrio_bacteriovorus;B
Bradymonadales_bacterium_V1718;B
Nitrospira_japonica;B
Roseateles_aquatilis;B
H3_Bulk_Litter_17_scaffold_37777_1;B
H1_Bulk_Litter_6_scaffold_11653_2;B
Rhodanobacter_fulvus;B
Rhodanobacter_lindaniclasticus;B
Rhodanobacter_thiooxydans;B
Rhodanobacter_glycinis;B
Rhodanobacter_denitrificans;B
